week_index,week_start_utc_ts,signups
0,1602786380,16958
1,1603391180,17246
2,1603995980,34049
3,1604600780,15345
4,1605205580,3874
5,1605810380,4388
6,1606415180,550
7,1607019980,501
8,1607624780,342
9,1608229580,113
10,1608834380,395
11,1609439180,148
12,1610043980,271
13,1610648780,107
14,1611253580,634
15,1611858380,131
16,1612463180,296
17,1613067980,108
18,1613672780,20
19,1614277580,56
20,1614882380,104
21,1615487180,162
22,1616091980,133
23,1616696780,312
24,1617301580,131
25,1617906380,109
26,1618511180,122
27,1619115980,154
28,1619720780,88
29,1620325580,90
30,1620930380,61
31,1621535180,79
32,1622139980,33
33,1622744780,35
34,1623349580,94
35,1623954380,317
36,1624559180,708
37,1625163980,563
38,1625768780,39
39,1626373580,358
40,1626978380,458
41,1627583180,77
42,1628187980,53
43,1628792780,62
44,1629397580,59
45,1630002380,22
46,1630607180,93
47,1631211980,213
48,1631816780,889
49,1632421580,271
50,1633026380,98
51,1633631180,4001
52,1634235980,9794
53,1634840780,3701
54,1635445580,1039
55,1636050380,420
56,1636655180,37
57,1637259980,24
58,1637864780,20
59,1638469580,15
60,1639074380,19
61,1639679180,288
62,1640283980,105
63,1640888780,49
64,1641493580,61
65,1642098380,200
66,1642703180,102
67,1643307980,56
68,1643912780,59
69,1644517580,10
70,1645122380,1
71,1645727180,40
72,1646331980,39
73,1646936780,117
74,1647541580,153
75,1648146380,71
76,1648751180,108
77,1649355980,60
78,1649960780,59
79,1650565580,86
80,1651170380,50
81,1651775180,44
82,1652379980,65
83,1652984780,31
84,1653589580,58
85,1654194380,3
86,1654799180,92
87,1655403980,253
88,1656008780,102
89,1656613580,98
90,1657218380,75
91,1657823180,68
92,1658427980,18
93,1659032780,55
94,1659637580,18
95,1660242380,26
96,1660847180,35
97,1661451980,18
98,1662056780,2
99,1662661580,41
100,1663266380,48
101,1663871180,27
102,1664475980,37
103,1665080780,43
104,1665685580,11
